2025-08-01 10:47:55 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:47:55 - price_service - INFO - Initializing price service module
2025-08-01 10:47:55 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:47:55 - price_service - INFO - Initializing price service module
2025-08-01 10:47:55 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:47:55 - price_service - INFO - Initializing price service module
2025-08-01 10:47:57 - price_service - INFO - Initializing price service module
2025-08-01 10:47:57 - price_service - INFO - Initializing price service module
2025-08-01 10:47:57 - price_service - INFO - Initializing price service module
2025-08-01 10:48:13 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:48:13 - price_service - INFO - Initializing price service module
2025-08-01 10:48:13 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:48:13 - price_service - INFO - Initializing price service module
2025-08-01 10:48:13 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:48:13 - price_service - INFO - Initializing price service module
2025-08-01 10:48:14 - price_service - INFO - Initializing price service module
2025-08-01 10:48:14 - price_service - INFO - Initializing price service module
2025-08-01 10:48:14 - price_service - INFO - Initializing price service module
2025-08-01 10:50:51 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:50:51 - price_service - INFO - Initializing price service module
2025-08-01 10:50:51 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:50:51 - price_service - INFO - Initializing price service module
2025-08-01 10:50:51 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-01 10:50:51 - price_service - INFO - Initializing price service module
2025-08-01 10:50:52 - price_service - INFO - Initializing price service module
2025-08-01 10:50:53 - price_service - INFO - Initializing price service module
2025-08-01 10:50:53 - price_service - INFO - Initializing price service module
2025-08-01 11:27:31 - price_service - ERROR - Price update failed after 0.01 seconds
2025-08-01 11:30:32 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:32:26 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:32:26 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:32:26 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:32:26 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:32:26 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:32:26 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:32:29 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:32:29 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:32:29 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:32:29 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:32:29 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:32:29 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:39:16 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:39:17 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:39:17 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:39:17 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:39:17 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:39:17 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:39:17 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:39:19 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:39:19 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:39:19 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:39:19 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:39:19 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:39:19 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:39:21 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:39:21 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:39:21 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:39:21 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:39:21 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:39:21 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:39:25 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:39:25 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:39:25 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:39:25 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:39:25 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:39:25 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:15 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:15 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:15 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:15 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:15 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:15 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:17 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:22 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:22 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:22 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:22 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:22 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:22 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:23 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:23 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:23 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:23 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:23 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:23 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:25 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:25 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:25 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:25 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:25 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:25 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:26 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:28 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:28 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:28 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:28 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:28 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:28 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:30 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:30 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:30 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:30 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:30 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:30 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:32 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:32 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:32 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:32 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:32 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:32 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:35 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:36 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:37 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:41 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:42 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:43 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:43 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:43 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:43 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:43 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:43 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-01 11:40:45 - price_service - WARNING - No price record found for 4 in USD, using default values
